Acousticness,Comments,Danceability,Duration_ms,Energy,Instrumentalness,Key,Likes,Liveness,Loudness,Speechiness,Stream,Tempo,Valence,Views
0.00021,71379.0,0.533,205159.0,0.858,0.0,2.0,1278216.0,0.148,-4.212,0.0766,280845476.0,160.057,0.506,117833946.0
0.214,110107.0,0.697,239293.0,0.691,0.0,2.0,3621125.0,0.185,-4.757,0.146,615784555.0,137.853,0.305,449712619.0
0.00156,7137.0,0.665,122570.0,0.678,0.0,5.0,182210.0,0.474,-4.122,0.0315,67878913.0,131.986,0.682,15391210.0
0.0693,3392.0,0.721,144860.0,0.632,0.0,5.0,335937.0,0.291,-6.695,0.0358,212221697.0,92.057,0.296,35856519.0
0.05,13598.0,0.742,124188.0,0.617,5.92e-05,2.0,273280.0,0.0711,-6.689,0.0345,62736773.0,147.002,0.491,19671018.0
0.0338,262847.0,0.594,172854.0,0.749,0.00106,9.0,9883068.0,0.3,-5.298,0.056,865695837.0,179.968,0.694,2133459242.0
0.443,96876.0,0.628,205907.0,0.69,0.0,8.0,4089045.0,0.113,-5.83,0.0511,765561212.0,179.908,0.66,1381668642.0
0.228,56053.0,0.635,204701.0,0.713,0.0,11.0,2634233.0,0.0506,-6.909,0.0937,418186764.0,179.864,0.749,736730327.0
0.0913,96.0,0.627,158087.0,0.849,0.0,1.0,6740.0,0.145,-3.167,0.153,185931694.0,89.907,0.818,592005.0
0.523,31069.0,0.681,286507.0,0.648,0.0,1.0,1811446.0,0.104,-5.021,0.38,350576786.0,172.02,0.688,321420163.0
0.183,14194.0,0.855,157023.0,0.912,0.0,10.0,748538.0,0.122,-4.832,0.145,136025763.0,104.072,0.885,115543124.0
0.531,5375.0,0.76,223074.0,0.803,0.0,8.0,435031.0,0.0555,-2.867,0.0306,37382738.0,136.945,0.922,61711565.0
0.282,168819.0,0.832,198707.0,0.608,0.0,6.0,4733493.0,0.0761,-6.042,0.0385,479847676.0,94.013,0.589,1546036758.0
0.161,17598.0,0.591,217547.0,0.785,0.0,9.0,557112.0,0.126,-7.768,0.161,89466323.0,106.002,0.785,24706293.0
0.246,62.0,0.827,170005.0,0.788,0.0,7.0,2340.0,0.0764,-11.937,0.0831,126333112.0,109.933,0.815,162725.0
0.0339,32910.0,0.557,185733.0,0.54,0.00248,9.0,1126554.0,0.179,-10.484,0.0347,942898131.0,129.171,0.394,114971785.0
0.631,15452.0,0.443,243027.0,0.403,0.0,0.0,1075941.0,0.111,-8.339,0.0322,526788025.0,143.462,0.41,131925109.0
0.0302,3211.0,0.533,259947.0,0.376,0.248,9.0,383619.0,0.0926,-11.913,0.0393,574936342.0,165.007,0.187,31607772.0
0.879,5938.0,0.332,125667.0,0.179,0.0,5.0,475089.0,0.0886,-11.83,0.0326,475131674.0,96.529,0.315,42856675.0
0.641,4309.0,0.482,155227.0,0.849,7.74e-06,2.0,490790.0,0.0414,-9.198,0.0452,341963190.0,124.631,0.937,53228361.0
0.754,4522.0,0.686,138387.0,0.127,1.41e-05,7.0,365297.0,0.0573,-14.361,0.0342,326733164.0,93.699,0.372,33852949.0
0.449,8607.0,0.688,146333.0,0.435,0.0,9.0,463315.0,0.113,-11.359,0.0323,266426563.0,103.239,0.435,63223118.0
0.0112,6569.0,0.386,425653.0,0.607,1.38e-05,10.0,460662.0,0.088,-7.7,0.0261,486111943.0,147.207,0.532,56888766.0
0.386,4031.0,0.49,145747.0,0.715,0.0,7.0,275921.0,0.311,-5.549,0.0476,334903879.0,130.726,0.866,28799448.0
0.198,26651.0,0.396,182293.0,0.338,2.62e-06,0.0,675186.0,0.138,-10.872,0.0304,233382117.0,133.522,0.377,96849734.0
