Album,Album_type,Artist,Channel,Licensed,Title,Track,official_video
Climaxxx,album,Nicky Jam,Dalex,True,"Dalex - Cuaderno ft. Nicky Jam, Justin Quiles, Sech, Lenny Tavárez, Rafa Pabön, Feid (Video Oficial)",Cuaderno,True
Exitos,album,Nicky Jam,Anakin ent,True,Nicky Jam Ft. Daddy Yankee - En La Cama (Official Video),En La Cama (feat. Daddy Yankee),True
Si Te Preguntan...,single,Nicky Jam,PrinceRoyceVEVO,True,"Prince Royce, Nicky Jam, Jay Wheeler - Si Te Preguntan... (Official Video)",Si Te Preguntan...,True
Fénix,album,Nicky Jam,NickyJamTV,True,22. Hasta el Amanecer - Nicky Jam | Video Oficial,Hasta el Amanecer,True
Color Esperanza 2020,single,Nicky Jam,Latin Waves,False,Color Esperanza 2020 - Various Artists (Official Video),Color Esperanza 2020,False
Gargolas 3,album,Nicky Jam,DeeJay Morena,False,Los cangris - Donde estan las gatas ( Daddy Yankee FT. Nicky JAM ) Video Oficial - El ganador,Donde Estan las Gatas,False
Abbey Road (Remastered),album,The Beatles,TheBeatlesVEVO,True,The Beatles - Here Comes The Sun (2019 Mix),Here Comes The Sun - Remastered 2009,True
Let It Be (Remastered),album,The Beatles,The Beatles - Topic,True,Let It Be (Remastered 2009),Let It Be - Remastered 2009,True
Abbey Road (Remastered),album,The Beatles,The Beatles - Topic,True,Come Together (Remastered 2009),Come Together - Remastered 2009,True
Help! (Remastered),album,The Beatles,The Beatles - Topic,True,Yesterday (Remastered 2009),Yesterday - Remastered 2009,True
Please Please Me (Remastered),album,The Beatles,The Beatles - Topic,True,Twist And Shout (Remastered 2009),Twist And Shout - Remastered 2009,True
The Beatles (Remastered),album,The Beatles,The Beatles - Topic,True,Blackbird (Remastered 2009),Blackbird - Remastered 2009,True
Rubber Soul (Remastered),album,The Beatles,The Beatles - Topic,True,In My Life (Remastered 2009),In My Life - Remastered 2009,True
1 (Remastered),album,The Beatles,The Beatles - Topic,True,Hey Jude (Remastered 2015),Hey Jude - Remastered 2015,True
1 (Remastered),album,The Beatles,The Beatles - Topic,True,I Want To Hold Your Hand (Remastered 2015),I Want To Hold Your Hand - Remastered 2015,True
Abbey Road (Remastered),album,The Beatles,TheBeatlesVEVO,True,The Beatles - Something,Something - Remastered 2009,True
Planet Pit (Deluxe Version),album,Pitbull,PitbullVEVO,True,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",True
Global Warming: Meltdown (Deluxe Version),album,Pitbull,PitbullVEVO,True,Pitbull - Timber (Official Video) ft. Ke$ha,Timber (feat. Ke$ha),True
Globalization,album,Pitbull,PitbullVEVO,True,"Pitbull, Ne-Yo - Time Of Our Lives",Time of Our Lives,True
Global Warming: Meltdown (Deluxe Version),album,Pitbull,PitbullVEVO,True,Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera,Feel This Moment (feat. Christina Aguilera),True
Planet Pit (Deluxe Version),album,Pitbull,PitbullVEVO,True,Pitbull - International Love (Official Video) ft. Chris Brown,International Love (feat. Chris Brown),True
Globalization,album,Pitbull,PitbullVEVO,True,Pitbull - Fireball ft. John Ryan,Fireball (feat. John Ryan),True
Globalization,album,Pitbull,PitbullVEVO,True,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (Olodum Mix),We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),True
